Identifier,Company Name,Country of Exchange,"Company Market Cap(USD)","Historic P/E(FY0)","Total Debt to Total Equity, Percent(FY0)",Enterprise Value To EBITDA (Daily Time Series Ratio),Enterprise Value To Sales (Daily Time Series Ratio),P/E (Daily Time Series Ratio),Total Debt To Enterprise Value (Daily Time Series Ratio),"Enterprise Value (Daily Time Series)(USD)",Price To Book Value Per Share (Daily Time Series Ratio),"Quick Ratio(FY0)","Current Ratio(FY0)","Total Assets, Reported(FY0, USD)",Dividend yield,"Revenue(FY0, USD)","Net Income After Taxes(FY0, USD)","Capital Expenditures(FY0, USD)","Retained Earnings, TTM(FI0, USD)"
CMI.HN,Cmistone Viet Nam JSC,Vietnam,6659505.91,3360.49,0.68,22.36,13.31,,0.52,12806471.47,0.8,1.04,1.18,18402884.38,,1779216.2,1740.01,-4688018.96,-354939.31
BCE.HM,Binh Duong Construction & Civil Engineering JSC,Vietnam,8592910.85,9.58,0.25,3.14,0.27,7.33,0.5,7360060.2,0.55,0.33,1.23,79962016.87,0.11,22581168.34,1121092.46,-11853.09,1195656.16
GTT.HNO,Thuan Thao Corp,Vietnam,1557572.5,,,402.87,3.85,,0.95,32275821.44,-0.15,0.25,0.25,49930262.48,0,9041229.49,-5395234.79,-14224.28,-7282921.24
VIR.HNO,Vung Tau Intourco Resort JSC,Vietnam,4019692.09,9.47,0,,,,0,3222088.52,1.01,2.85,2.89,4275876.08,0.07,2758920.82,481693.24,-135232.77,
UDC.HM,Urban Development and Construction Corp,Vietnam,6057706.77,36.24,0.6,9.74,1.35,37.03,0.7,21798317.69,0.36,0.39,1.19,79841452.07,0,13993852.39,319526.27,-3663513.71,159457.52
DC2.HN,Development Investment Construction Number 2 JSC,Vietnam,496240.6,37.98,0.91,6.02,0.33,7.12,0.78,1446401.73,0.44,0.46,1.29,4057524.83,0,3016050.3,13576.65,-3348.43,76269.97
SBS.HNO,Sacombank Securities JSC,Vietnam,9636680.99,32.9,0,,-1.07,,,-3153935.18,1,1.95,1.95,24068778.15,,3337989.04,702277.68,-340073.37,-194675.07
LCS.HN,Licogi 166 JSC,Vietnam,1768707.48,21.74,0.86,,1.1,,0.66,4817520.89,0.62,0.83,0.96,9186699.48,0,6927708.56,43547.62,-984108.91,
ICI.HNO,Industrial Construction and Investment JSC,Vietnam,680272.11,,,,,,1.03,4000621.38,0.41,,,15323432.8,0,17268637.35,,-47195.97,
WTC.HNO,Vinacomin Waterway Transport JSC,Vietnam,1611170.78,,,21.47,1.43,,0.94,17686553.02,-1,,,3983421.17,0,29832483.48,,0,-990912.63
ORS.HN,Orient Securities Corp,Vietnam,3866809.88,21.45,0,-66.69,-45.92,24.6,,-16284104.48,1.1,1.16,1.16,21558476.94,,352080.6,169226.05,-17175.27,169226.05
